# Hiragana reading → English word mapping
# Format: reading\tenglish\tcost
# Used for Japanese→English conversion (e.g. ぐーぐる → Google)
ぐーぐる	Google	4000
あっぷる	Apple	4000
あまぞん	Amazon	4000
まいくろそふと	Microsoft	4000
ゆーちゅーぶ	YouTube	4000
つういったー	Twitter	4200
いんすたぐらむ	Instagram	4200
ふぇいすぶっく	Facebook	4200
らいん	LINE	4500
てぃっくとっく	TikTok	4200
ねっとふりっくす	Netflix	4200
すぽてぃふぁい	Spotify	4200
でぃすこーど	Discord	4200
すらっく	Slack	4500
ぎっとはぶ	GitHub	4200
あんどろいど	Android	4000
あいふぉーん	iPhone	4000
あいぱっど	iPad	4200
うぃんどうず	Windows	4000
りなっくす	Linux	4200
まっく	Mac	4500
くろーむ	Chrome	4200
さふぁり	Safari	4500
ふぁいあふぉっくす	Firefox	4200
えっじ	Edge	4800
ぱいそん	Python	4200
じゃばすくりぷと	JavaScript	4200
たいぷすくりぷと	TypeScript	4200
ことりん	Kotlin	4200
すういふと	Swift	4500
りあくと	React	4500
のーど	Node	4800
どっかー	Docker	4500
くばねてす	Kubernetes	4500
えーあい	AI	4500
ちゃっとじーぴーてぃー	ChatGPT	4200
じーぴーてぃー	GPT	4500
くろーど	Claude	4500
じぇみに	Gemini	4500
てすら	Tesla	4500
うーばー	Uber	4500
えあびーあんどびー	Airbnb	4500
すたーばっくす	Starbucks	4500
にんてんどー	Nintendo	4200
そにー	Sony	4500
とよた	Toyota	4500
ほんだ	Honda	4500
めるせです	Mercedes	4500
びーえむだぶりゅー	BMW	4500
ないき	Nike	4500
あでぃだす	Adidas	4500
ゆにくろ	UNIQLO	4200
むじるし	MUJI	4500
こすとこ	Costco	4500
いけあ	IKEA	4500
わいふぁい	Wi-Fi	4200
ぶるーとぅーす	Bluetooth	4200
ゆーえすびー	USB	4500
えいちでぃーえむあい	HDMI	4500
えすえすでぃー	SSD	4500
おーぷんえーあい	OpenAI	4200
おーぷんそーす	OpenSource	4500
めーる	email	5000
いんたーねっと	Internet	4500
うぇぶさいと	website	4800
ぱすわーど	password	4800
あかうんと	account	4800
ろぐいん	login	4800
だうんろーど	download	4800
あっぷろーど	upload	4800
あっぷでーと	update	4800
いんすとーる	install	4800
でりーと	delete	4800
ふぁいる	file	5000
ふぉるだ	folder	5000
さーばー	server	4800
でーたべーす	database	4800
ぷろぐらむ	program	4800
あぷり	app	5000
あぷりけーしょん	application	4800
おんらいん	online	4800
おふらいん	offline	4800
くらうど	cloud	4800
すとりーみんぐ	streaming	4800
さぶすくりぷしょん	subscription	4800
